Time[usec],CH1(msr),CH2(pos_t),CH3(vel_ta),CH4(servo_ad),CH5(disp_m1),CH6(disp_s1),CH7(disp_m2),CH8(disp_s2)
0,2.000000e+000,-5.000000e-006,-1.968589e-004,1.171252e-001,1.342773e-001,-2.392578e+000,1.403809e-001,1.464844e-001 
40,3.000000e+000,-5.000000e-006,-1.771730e-004,1.561670e-001,5.004883e-001,-5.029297e+000,1.892090e-001,-0.000000e+000 
80,3.000000e+000,-5.000000e-006,-1.771730e-004,1.561670e-001,5.004883e-001,-5.029297e+000,1.892090e-001,-0.000000e+000 
120,4.000000e+000,-5.000000e-006,-1.594557e-004,1.301392e-002,4.455566e-001,-2.539063e+000,-7.934570e-002,9.765625e-002 
160,4.000000e+000,-5.000000e-006,-1.594557e-004,1.301392e-002,4.455566e-001,-2.539063e+000,-7.934570e-002,9.765625e-002 
200,5.000000e+000,-5.000000e-006,-1.435102e-004,-2.602783e-002,-8.544922e-002,2.490234e+000,-1.770020e-001,9.765625e-002 
240,5.000000e+000,-5.000000e-006,-1.435102e-004,-2.602783e-002,-8.544922e-002,2.490234e+000,-1.770020e-001,9.765625e-002 
280,6.000000e+000,-5.000000e-006,-1.291591e-004,-3.904175e-002,-5.920410e-001,5.078125e+000,-0.000000e+000,-9.765625e-002 
320,6.000000e+000,-5.000000e-006,-1.291591e-004,-3.904175e-002,-5.920410e-001,5.078125e+000,-0.000000e+000,-9.765625e-002 
360,7.000000e+000,-5.000000e-006,-1.162432e-004,-1.171252e-001,-5.187988e-001,2.832031e+000,1.708984e-001,1.464844e-001 
400,7.000000e+000,-5.000000e-006,-1.162432e-004,-1.171252e-001,-5.187988e-001,2.832031e+000,1.708984e-001,1.464844e-001 
440,8.000000e+000,-5.000000e-006,-1.046189e-004,-0.000000e+000,1.892090e-001,-2.441406e+000,9.765625e-002,-4.882813e-002 
480,8.000000e+000,-5.000000e-006,-1.046189e-004,-0.000000e+000,1.892090e-001,-2.441406e+000,9.765625e-002,-4.882813e-002 
520,9.000000e+000,-4.000000e-006,1.058430e-004,2.602783e-002,7.446289e-001,-5.078125e+000,-1.159668e-001,1.464844e-001 
560,9.000000e+000,-4.000000e-006,1.058430e-004,2.602783e-002,7.446289e-001,-5.078125e+000,-1.159668e-001,1.464844e-001 
600,1.000000e+001,-4.000000e-006,9.525867e-005,-2.342505e-001,5.493164e-001,-2.587891e+000,-1.708984e-001,1.464844e-001 
640,1.000000e+001,-4.000000e-006,9.525867e-005,-2.342505e-001,5.493164e-001,-2.587891e+000,-1.708984e-001,1.464844e-001 
680,1.100000e+001,-4.000000e-006,8.573281e-005,-5.465845e-001,-2.563477e-001,2.587891e+000,7.324219e-002,9.765625e-002 
720,1.100000e+001,-4.000000e-006,8.573281e-005,-5.465845e-001,-2.563477e-001,2.587891e+000,7.324219e-002,9.765625e-002 
760,1.200000e+001,-5.000000e-006,-1.228405e-004,-4.685010e-001,-7.507324e-001,5.517578e+000,1.647949e-001,-0.000000e+000 
800,1.200000e+001,-5.000000e-006,-1.228405e-004,-4.685010e-001,-7.507324e-001,5.517578e+000,1.647949e-001,-0.000000e+000 
840,1.300000e+001,-8.000000e-006,-7.105564e-004,-5.856262e-001,-3.967285e-001,2.978516e+000,1.831055e-002,9.765625e-002 
880,1.300000e+001,-8.000000e-006,-7.105564e-004,-5.856262e-001,-3.967285e-001,2.978516e+000,1.831055e-002,9.765625e-002 
920,1.400000e+001,-1.500000e-005,-2.039501e-003,-6.637097e-001,3.723145e-001,-2.246094e+000,-1.525879e-001,9.765625e-002 
960,1.400000e+001,-1.500000e-005,-2.039501e-003,-6.637097e-001,3.723145e-001,-2.246094e+000,-1.525879e-001,9.765625e-002 
1000,1.400000e+001,-2.500000e-005,-3.835551e-003,-1.561670e-001,7.446289e-001,-4.931641e+000,-1.403809e-001,-4.882813e-002
1040,1.400000e+001,-2.500000e-005,-3.835551e-003,-1.561670e-001,7.446289e-001,-4.931641e+000,-1.403809e-001,-4.882813e-002 

